こんな,その,そんな,ちょっと,とう,とても,なく,もう,もっと,やっはり,よかっ,よく,キャスト,ストーリー,ラスト,人間,俳優,内容,印象,原作,台詞,好き,展開,役者,意味,描写,日本,映像,最後,最高,本当に,気持ち,演出,演技,物語,特に,素晴らしい,良かっ,良く,雰囲気,面白い,面白かっ
0.0,0.0,0.1746452715517009,0.0,0.0,0.16674927845843335,0.0,0.0,0.0,0.0,0.16892954173287053,0.0,0.3565482191813979,0.0,0.0,0.0,0.0,0.0,0.0,0.5348223287720969,0.0,0.5610766224986234,0.0,0.0,0.0,0.18078476302557284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746452715517009,0.0,0.0,0.0,0.0,0.0,0.3492905431034018
0.12710946220302402,0.21522821587758897,0.0,0.0,0.0,0.12792958488150857,0.11872432887256808,0.0,0.0,0.0,0.0,0.25421892440604804,0.0,0.12471073882219635,0.11731185683933498,0.0,0.0,0.0,0.0,0.1367714034261552,0.0,0.10761410793879449,0.0,0.0,0.0,0.0,0.0,0.2643937334033907,0.0,0.12876042842123472,0.0,0.0,0.35617298661770425,0.5410828193905051,0.0,0.0,0.4777700523030401,0.22011794376956992,0.0,0.0,0.0,0.0
0.0,0.15966124161989317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20152330627992981,0.0,0.0,0.0,0.0,0.0,0.2001466613736257,0.37717089228698836,0.0,0.0,0.7691356024562466,0.19613335351770636,0.0,0.0,0.0,0.0,0.0,0.16055507296908458,0.1719992199019859,0.0,0.0,0.1632885542528294,0.0,0.198789824996185,0.0,0.0
0.0,0.0,0.19056789825595918,0.0,0.0,0.0,0.08442977127722757,0.0,0.0,0.09216552911896443,0.0,0.0,0.0,0.0,0.08342530410665,0.08868695451522537,0.09659416151730899,0.0,0.0,0.0,0.09794349044953013,0.15305766906844367,0.0,0.7231422858572921,0.09726379098702018,0.0,0.0,0.0,0.1610785420981642,0.09156685596286859,0.0,0.0,0.16885954255445515,0.07695726582242776,0.08244267491813285,0.0,0.08494050171121889,0.0,0.09401064908246597,0.28585184738393876,0.41962373723969637,0.09528394912797959
0.0,0.16914377583894544,0.0,0.19978583471699823,0.20778202427436293,0.0,0.37321279995876067,0.4021497449140055,0.0,0.0,0.2037039462609978,0.0,0.0,0.39203122445707744,0.0,0.0,0.0,0.0,0.0,0.21497210770402939,0.2164743771979314,0.0,0.0,0.39957166943399647,0.0,0.0,0.0,0.0,0.1780076293003817,0.0,0.0,0.0,0.0,0.17009069324877857,0.0,0.21059626780472487,0.0,0.0,0.0,0.0,0.1854901979897072,0.0
0.0,0.14035861218533094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15300716359808664,0.16265735562893183,0.0,0.17127790087117029,0.1668556226998278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16903727643571767,0.0,0.14771400060734388,0.1679392728681258,0.16903727643571767,0.0,0.0,0.7057219082294622,0.0,0.0,0.15578612964739613,0.0,0.0,0.17475665145743718,0.4617695206581103,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4175975762271377,0.0,0.0,0.431527165280668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464597193905391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35324881906699823,0.0,0.0,0.0,0.3592629487831644,0.431527165280668,0.0,0.0,0.0
0.0,0.1985448838934466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6902630045626048,0.0,0.24228189786514437,0.0,0.5046784837659813,0.0,0.0,0.0,0.0,0.0,0.25589296253172394,0.0,0.2438993553270313,0.0,0.0,0.0,0.0,0.0,0.0,0.21388763358425664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10774369634150895,0.456092786754942,0.0,0.0,0.11205600917779304,0.10843886920513326,0.0,0.0,0.0,0.1098567181231925,0.0,0.0,0.0,0.10571043053208892,0.19887761086373587,0.10571043053208892,0.11513542726430964,0.0,0.32531660761539977,0.0,0.0,0.18243711470197682,0.0,0.0,0.23186718444945317,0.0,0.0,0.0,0.287996393512784,0.10914312955286866,0.0,0.1113128918868479,0.5031804012341692,0.0,0.0,0.0,0.0,0.0,0.11205600917779304,0.11357371938380384,0.30010235102262206,0.0
